time,speed_north,speed_east,speed_forward,speed_right,speed_up,North,East,Forward,Right,Altitude,Altitude_sensor,Heading,lat2,lat3
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76266359262138,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7685785364426,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7685785364426,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7685785364426,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7685785364426,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7685785364426,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7685785364426,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7685785364426,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7685785364426,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77062076300444,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77355091415838,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77355091415838,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77355091415838,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77355091415838,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77355091415838,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77742363141778,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77742363141778,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77742363141778,37.503641666666354,37.503641666666354
