time,speed_north,speed_east,speed_up,North,East,Altitude
16:08:1625814484,0.002312023425474763,-0.030942965298891068,0.954807460308075,-0.0012104187833703872,0.041046634340487165,0.6627054633288978
16:08:1625814484,0.002312023425474763,-0.030942965298891068,0.954807460308075,-0.0011641397729054426,0.040427259208252186,0.6818175293922124
16:08:1625814484,0.002312023425474763,-0.030942965298891068,0.954807460308075,-0.0011176535002086763,0.03980511018195698,0.7010151895386159
16:08:1625814484,0.002312023425474763,-0.030942965298891068,0.954807460308075,-0.00107173223758536,0.03919052296792702,0.719979514751067
16:08:1625814484,0.002312023425474763,-0.030942965298891068,0.954807460308075,-0.0010256004053541823,0.03857311759556992,0.739030799909635
16:08:1625814484,0.002312023425474763,-0.030942965298891068,0.954807460308075,-0.0009791097228226964,0.037950909550252154,0.7582302812067425
16:08:1625814484,0.0022397234570235014,-0.04272834584116936,0.9701665639877319,-0.0009249533541940969,0.03691774090569999,0.7816888461048777
16:08:1625814484,0.0022397234570235014,-0.04272834584116936,0.9701665639877319,-0.0008801204803716989,0.03606244132318692,0.8011088128929984
16:08:1625814484,0.0022397234570235014,-0.04272834584116936,0.9701665639877319,-0.0008321920567559704,0.03514808635965205,0.8218696590192494
16:08:1625814484,0.0022397234570235014,-0.04272834584116936,0.9701665639877319,-0.0007873682607922039,0.03429295996007453,0.8412856936098976
16:08:1625814484,0.0022397234570235014,-0.04272834584116936,0.9701665639877319,-0.0007426080098388577,0.033439045841045845,0.8606742028182381
16:08:1625814484,0.0022397234570235014,-0.04272834584116936,0.9701665639877319,-0.0006978349430850905,0.03258488722846109,0.880068263364187
16:08:1625814484,0.0022397234570235014,-0.04272834584116936,0.9701665639877319,-0.0006401659771577972,0.03148470697508343,0.9050483573784547
16:08:1625814484,0.0022397234570235014,-0.04272834584116936,0.9701665639877319,-0.0005970317308828521,0.030661812975980807,0.9237325406277463
16:08:1625814484,0.0022397234570235014,-0.04272834584116936,0.9701665639877319,-0.0005507287779538406,0.029778467945140497,0.9437892921006821
16:08:1625814484,0.0022397234570235014,-0.04272834584116936,0.9701665639877319,-0.0005062830481024905,0.028930554105466966,0.9630415622318864
16:08:1625814484,0.0022397234570235014,-0.04272834584116936,0.9701665639877319,-0.00046144109642146103,0.02807508134001835,0.9824654612174797
16:08:1625814484,0.0022397234570235014,-0.04272834584116936,0.9701665639877319,-0.00041663705815001006,0.02722033186800643,1.0018729374959818
16:08:1625814484,0.0020045682322233915,-0.044538240879774094,0.9015285968780518,-0.00037299043792224373,0.026250575062504167,1.0215024395802104
16:08:1625814484,0.0020045682322233915,-0.044538240879774094,0.9015285968780518,-0.00033264150923098534,0.02535408759133495,1.039648847611538
16:08:1625814484,0.0020045682322233915,-0.044538240879774094,0.9015285968780518,-0.000274377990749225,0.024059567116087477,1.065852110349958
16:08:1625814484,0.0020045682322233915,-0.044538240879774094,0.9015285968780518,-0.00023414328644597027,0.023165617524759652,1.0839471474423519
16:08:1625814484,0.0020045682322233915,-0.044538240879774094,0.9015285968780518,-0.000193660538388013,0.02226615680524069,1.1021537390004639
16:08:1625814484,0.0012108318042010069,-0.04329921677708626,0.8942833542823792,-0.000152262272259035,0.020785759203282295,1.132729232778253
16:08:1625814484,0.0012108318042010069,-0.04329921677708626,0.8942833542823792,-0.00011176758954870025,0.019337673648450737,1.162637367466452
16:08:1625814484,0.0012108318042010069,-0.04329921677708626,0.8942833542823792,-6.63794108225757e-05,0.01771459719558499,1.1961596887130028
16:08:1625814484,0.0012108318042010069,-0.04329921677708626,0.8942833542823792,-4.109841698204941e-05,0.016810551539662155,1.2148314578991588
16:08:1625814484,0.0012108318042010069,-0.04329921677708626,0.8942833542823792,-1.5688381036688126e-05,0.015901891351769448,1.2335985336390038
16:08:1625814484,0.0012108318042010069,-0.04329921677708626,0.8942833542823792,9.625234186044773e-06,0.01499667915868197,1.2522943959807904
16:08:1625814484,0.00243998016230762,-0.04386823624372482,0.5431023836135864,0.00010081710065137917,0.013357146836491252,1.2725923151231555
16:08:1625814484,0.00243998016230762,-0.04386823624372482,0.5431023836135864,0.00014976267324603998,0.012477157738696176,1.283486853346922
16:08:1625814484,0.00243998016230762,-0.04386823624372482,0.5431023836135864,0.00024452291203622134,0.010773469894845844,1.3045790377645474
16:08:1625814484,0.00243998016230762,-0.04386823624372482,0.5431023836135864,0.0003326804403785688,0.00918849172997116,1.3242015595029741
16:08:1625814484,0.00243998016230762,-0.04386823624372482,0.5431023836135864,0.0003826033304668297,0.008290931507887178,1.3353136337004017
16:08:1625814484,0.00243998016230762,-0.04386823624372482,0.5431023836135864,0.00043141161322310384,0.007413410734694592,1.3461776132992966
16:08:1625814484,0.00243998016230762,-0.04386823624372482,0.5431023836135864,0.0004802763244299013,0.006534875438254373,1.3570541530109566
